date,BTC,ETH,XRP,BNB,SOL,ADA,MATIC,SAND,MANA,ALGO
2021-12-03,76880.95000000,6053.03000000,1.32180000,854.10000000,304.42000000,2.23000000,3.26200000,8.62670000,3.90310000,1.74680000
2021-12-04,71377.71000000,5965.77000000,1.22670000,827.80000000,291.83000000,2.06500000,2.86900000,8.80310000,4.11990000,1.64910000
2021-12-05,70677.10000000,6001.06000000,1.15070000,798.40000000,279.51000000,1.97300000,2.92300000,7.72800000,3.68620000,1.76500000
2021-12-06,71800.02000000,6185.37000000,1.17500000,836.70000000,275.23000000,2.02700000,3.24700000,7.84230000,3.76770000,1.76290000
2021-12-07,71190.56000000,6060.44000000,1.14980000,814.60000000,268.03000000,1.94100000,3.30500000,7.51420000,3.81320000,1.68520000
2021-12-08,70470.69000000,6195.12000000,1.20400000,848.00000000,271.73000000,1.95000000,3.37800000,7.45330000,3.76860000,1.70150000
2021-12-09,66836.27000000,5761.00000000,1.20690000,801.10000000,254.23000000,1.81000000,2.93000000,7.33550000,3.45310000,1.54800000
2021-12-10,66012.30000000,5457.82000000,1.11870000,773.90000000,234.11000000,1.69500000,2.92100000,6.79980000,3.23340000,1.45900000
2021-12-11,69001.32000000,5713.71000000,1.17220000,787.90000000,240.55000000,1.88900000,2.99000000,7.03620000,3.48090000,1.52790000
2021-12-12,70002.07000000,5776.04000000,1.17440000,798.10000000,241.96000000,1.88300000,2.92100000,7.69990000,3.62430000,1.53920000
2021-12-13,65636.38000000,5316.42000000,1.09890000,731.90000000,217.78000000,1.71600000,2.55700000,6.75110000,3.16950000,1.32230000
2021-12-14,68167.85000000,5439.02000000,1.14250000,744.70000000,227.69000000,1.78500000,2.73400000,6.73810000,3.16600000,1.38030000
2021-12-15,68253.33000000,5616.80000000,1.15570000,755.90000000,249.55000000,1.83200000,2.96700000,7.18010000,3.33800000,1.42620000
2021-12-16,66467.70000000,5519.48000000,1.12290000,734.40000000,246.62000000,1.73100000,2.88200000,6.92980000,3.14730000,1.38780000
2021-12-17,64774.56000000,5437.97000000,1.11820000,736.80000000,246.56000000,1.70800000,2.98700000,6.91700000,3.06810000,1.34680000
2021-12-18,65795.86000000,5562.61000000,1.16110000,751.00000000,256.79000000,1.74500000,3.13400000,7.26530000,3.42930000,1.37810000
2021-12-19,65712.43000000,5524.54000000,1.17350000,746.40000000,252.46000000,1.75000000,3.12300000,7.03840000,3.25520000,1.35560000
2021-12-20,66037.41000000,5550.00000000,1.23680000,738.10000000,244.53000000,1.74100000,2.98500000,6.99720000,3.19590000,1.29640000
2021-12-21,68515.73000000,5624.48000000,1.32670000,740.00000000,252.06000000,1.79300000,3.32300000,7.21160000,3.28180000,1.35730000
2021-12-22,67466.31000000,5527.36000000,1.32470000,741.40000000,247.88000000,1.84500000,3.47700000,7.09310000,3.28920000,1.36420000
2021-12-23,70437.66000000,5695.88000000,1.37490000,760.00000000,263.68000000,2.04500000,3.71300000,8.72190000,3.68490000,1.46980000
2021-12-24,70486.18000000,5614.73000000,1.26490000,752.50000000,264.23000000,1.92900000,3.42600000,8.11790000,3.50290000,1.57540000
2021-12-25,70020.06000000,5693.15000000,1.28380000,761.00000000,268.83000000,2.01900000,3.67700000,9.33380000,3.74830000,1.57510000
2021-12-26,70377.70000000,5630.17000000,1.27520000,757.90000000,273.97000000,2.01700000,3.97900000,9.31820000,3.85930000,1.60640000
2021-12-27,70123.29000000,5586.55000000,1.28200000,778.90000000,270.49000000,2.09500000,3.77500000,8.87280000,3.74460000,1.66250000
2021-12-28,65820.29000000,5254.95000000,1.17910000,740.00000000,245.15000000,1.93500000,3.44900000,8.09360000,3.34160000,1.46540000
2021-12-29,64256.41000000,5019.02000000,1.12870000,711.00000000,236.04000000,1.84200000,3.42000000,8.03660000,3.25650000,1.58270000
2021-12-30,65176.73000000,5130.83000000,1.15970000,717.40000000,238.27000000,1.88200000,3.52600000,8.15920000,3.28890000,1.73020000
2021-12-31,63839.33000000,5079.27000000,1.14570000,707.40000000,234.74000000,1.80700000,3.49000000,8.06200000,3.26900000,1.65910000
2022-01-01,65825.20000000,5191.57000000,1.17260000,727.50000000,246.29000000,1.90300000,3.54600000,8.25130000,3.34770000,1.74140000
2022-01-02,65224.17000000,5280.65000000,1.18350000,733.00000000,243.50000000,1.89700000,3.51300000,8.16100000,3.33810000,1.67340000
2022-01-03,64606.44000000,5239.00000000,1.15860000,712.60000000,236.79000000,1.83400000,3.38500000,7.93650000,3.25090000,1.79490000
2022-01-04,63471.75000000,5239.38000000,1.13870000,701.70000000,232.41000000,1.81200000,3.26900000,7.54980000,3.17550000,1.67250000
2022-01-05,60251.48000000,4911.80000000,1.07110000,657.80000000,214.80000000,1.70500000,3.02700000,6.96370000,2.91850000,1.55540000
2022-01-06,60276.06000000,4766.00000000,1.09070000,661.40000000,210.63000000,1.78600000,3.15200000,7.33650000,3.39120000,1.56330000
2022-01-07,57980.74000000,4462.25000000,1.06410000,625.20000000,190.17000000,1.68600000,2.86300000,6.78540000,3.05750000,1.44580000
2022-01-08,58331.59000000,4310.15000000,1.04260000,601.20000000,198.68000000,1.65500000,2.77800000,6.45350000,2.93500000,1.38500000
2022-01-09,58500.00000000,4404.78000000,1.05240000,613.80000000,196.92000000,1.63700000,2.95400000,6.59540000,2.94040000,1.40040000
2022-01-10,58308.80000000,4302.59000000,1.03010000,592.90000000,189.40000000,1.57000000,2.88200000,6.21730000,2.81260000,1.36230000
2022-01-11,59373.88000000,4501.00000000,1.07020000,644.40000000,194.77000000,1.65000000,3.27800000,6.58880000,2.92700000,1.44600000
2022-01-12,60461.43000000,4643.55000000,1.09870000,671.70000000,208.72000000,1.80800000,3.30100000,7.07940000,3.08450000,1.49910000
2022-01-13,58430.73000000,4450.61000000,1.05430000,652.00000000,200.00000000,1.69100000,3.11100000,6.67880000,2.89850000,1.36150000
2022-01-14,59889.99000000,4601.48000000,1.07580000,680.90000000,203.44000000,1.79400000,3.24700000,6.81240000,2.95840000,1.38170000
