time,tweet,cleaned_tweets,nltk_polarity
2022-05-27 02:54:22+00:00,"@chitaglorya__ @twinutoken don't miss out on the only profitable crypto community, join the channel for signals and more information on binance future trade. link to the telegram channel 👇🏻👇🏻👇🏻 https://t.co/esbwb56t08",t miss profitable crypto community join channel signals information binance future trade link telegram channel,0.5423
2022-05-27 02:54:22+00:00,@justnthephotog i saw a cool bird was bout to snag but not trying to top off my eth balance for a dollar or 2 lol prob cost like $40 to get 2 dollars of eth😐,saw cool bird bout snag trying eth balance dollar  lol prob cost like   dollars eth,0.765
2022-05-27 02:54:22+00:00,@buckleupbrandon are you gonna try to play the bounce on eth? i think we bounce around $1600,gonna try play bounce eth think bounce ,0.34
2022-05-27 02:54:22+00:00,🐳🐳🐳 nft whale trade ➡️transfer: [0x9cce3c] -&gt; [🐳0x1a0ee4] ✨nft: mbai #3387 https://t.co/gy6l8nngfo 💰price: 0.4 eth ($701.17) 🛢️gas: 0.0078 eth ($13.66),nft whale trade transfer xccec gt xaee nft mbai  price   eth   gas   eth  ,0.2732
2022-05-27 02:54:23+00:00,i believe this is a faithful project. the projector has a lot of attractions so hopefully the project will be best in the future. @racin_al @rofiq23au @niladro_nil @agshabuj85 @jahid8012 #airdrop #crypto #nft https://t.co/6whw0fxnxr,believe faithful project projector lot attractions hopefully project best future airdrop crypto nft,0.9118
2022-05-27 02:54:23+00:00,@nft_adidas this is cold wow @tsutomuudagawa @adedayo_aramide @1806cfc @dimasrahmatilah @tonyaja14276741 @hardonntabooson @giannajade1612 @mintycane4 @crypto_hyena @dtaggart_dagny @kan55y @commoncentssss @zeline_97 @kristen69342535,cold wow,0.5859
2022-05-27 02:54:24+00:00,not quite. they've actually made things worse by refusing to clarify what crypto assets are securities https://t.co/a4egm06rfe,ve actually things worse refusing clarify crypto assets securities,-0.4404
2022-05-27 02:54:24+00:00,@zha_pipi @0xrimuru_eth to save the cost 😖,save cost,0.4939
2022-05-27 02:54:24+00:00,@boklnft congratulations! you are eligible to mint. @100fold_eth @pamelaj95646803 @angelah61851359 @willena11602094 @miotketerra @kristyl96377536 @venusneedham @dichosdeamor @zenkainft @ashishk61013214 @nftkous @daniell87734899 @kristy05208566 @nft_profits,congratulations eligible mint,0.5994
2022-05-27 02:54:24+00:00,great hearing about you today. crypto fairy godmother nft og https://t.co/lhgqdyur6e,great hearing today crypto fairy godmother nft og,0.6249
2022-05-27 02:54:24+00:00,@kelvisman @mononokeinuscam welcome to crypto 🤩,welcome crypto,0.4588
2022-05-27 02:54:25+00:00,@boklnft congratulations! you are eligible to mint. @nft_profits @eth_phan @gigibreciani @spelbreker82 @benzy__ @demetra04484394 @maitreyanil @chakri38326725 @0xlazyhustler @blockchainzain @joshbyhk @jailenespapi @spring57317033 @emilioes7 @cdalmarvitor,congratulations eligible mint,0.5994
2022-05-27 02:54:25+00:00,@hunnersofeth ok why i cannot get a 1eth offer on my shibainutoken.eth not being greedy at all,ok eth offer shibainutoken eth greedy,-0.0258
2022-05-27 02:54:26+00:00,@zenara_eth @gharliera1 @genesis_senshi you happened to get one with a guitar !?!?!? how lucky !,happened guitar lucky,0.4215
2022-05-27 02:54:26+00:00,"@chavadanikunj1 @crypto_jargon @shivamchhuneja @cryptolalit151 @sujaljethwani @cryptowithkhan @easyeight08 in a bull market, just keep up. only the bear market can create professional, insightful and courageous investors who can also create wealth",bull market bear market create professional insightful courageous investors create wealth,0.8689
2022-05-27 02:54:27+00:00,@noggie_ i don’t buy eth. when i sell nfts of a profit i buy more $dero and $xeq,t buy eth sell nfts profit buy dero xeq,0.4404
2022-05-27 02:54:27+00:00,"cturer uses ico, crypto tokens for p2p energy trading . australian solar power panel manufacturing company expects the blockchain to improve efficiency in the energy market by enabling peer to peer trading.",cturer uses ico crypto tokens pp energy trading australian solar power panel manufacturing company expects blockchain improve efficiency energy market enabling peer peer trading,0.8225
2022-05-27 02:54:28+00:00,@davidgokhshtein @arminaszone @leoluna718ny this project has the real potential🚀🚀🚀🚀🚀🚀🚀🚀 #bnb #bsc #bscgem #lowcap #1000x #elon #messiah #eth #memecoin #meme #cheems #shiba #moonshots #grimace #crypto #new tg: https://t.co/qxbbjiccre,project real potential bnb bsc bscgem lowcap x elon messiah eth memecoin meme cheems shiba moonshots grimace crypto new tg,-0.25
