time,tweet,cleaned_tweets,nltk_polarity
2022-05-27 01:41:20+00:00,"@bffofficialnft @rtfkt @batashoemuseum @jeffstaple @fewocious @clegfx @rtfktlukson @benitopagotto @zaptio @cardillosamuel @takashipom @nike 💯💯💯 would be cool to see an exhibition of solely ""metaverse"" sneakers like 10ktf, stepn, decentraland wearables, the sandbox wearables, diamond crypto dunks, nike cryptodunks by rtfkt, etc. interesting how big of a role footwear has had in nfts in the past ~12 months.",cool exhibition solely metaverse sneakers like ktf stepn decentraland wearables sandbox wearables diamond crypto dunks nike cryptodunks rtfkt interesting big role footwear nfts past  months,0.836
2022-05-27 01:43:34+00:00,@rabois i spent 5 years in the sec division of exams crypto sandbox. i understand the needs of sec compliance and defi. my custody solution is a combination of defi principles and dex technology. @tp4digitalasset will be the first amm dex that meets sec requirements,spent  years sec division exams crypto sandbox understand needs sec compliance defi custody solution combination defi principles dex technology amm dex meets sec requirements,0.3182
2022-05-27 01:48:26+00:00,@elonmusk @aoc @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/g49zythqvs,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 01:48:58+00:00,"elvis presley entered metaverse, making the sandbox (sand) jump 12% . sandbox has had a better week than most crypto projects because 'the king' has entered the metaverse! elvis presley enterprises and run it wild,,,,",elvis presley entered metaverse making sandbox sand jump  sandbox better week crypto projects king entered metaverse elvis presley enterprises run wild,0.4404
2022-05-27 02:00:03+00:00,"3. @thesandboxgame announced a $175 million investment in numerous firms to maintain the stability and growth of the crypto gaming community ㅤ sandbox also funded a $25 million grant for @worldofwomennft, promoters of inclusiveness for women in web3 ㅤ https://t.co/llkjyqzeon", announced  million investment numerous firms maintain stability growth crypto gaming community sandbox funded  million grant promoters inclusiveness women web,0.6249
2022-05-27 04:55:59+00:00,@watcherguru @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/losbnelcth,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 06:07:38+00:00,"the reserve bank of zimbabwe (rbz) has onboarded @whatsapp-based payment platform, uhuru innovative solutions into its fintech sandbox. #sandbox #crypto #fintech #metaverse https://t.co/2hwlnqepvw",reserve bank zimbabwe rbz onboarded payment platform uhuru innovative solutions fintech sandbox sandbox crypto fintech metaverse,0.5574
2022-05-27 06:29:20+00:00,@1goonrich @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/81tw1iidgw,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 07:26:38+00:00,coming soon #nft #airdrop 🚀 are you ready!? 🤔 #opensea #sand #sandbox #nftgiveaway #nftcommunity #crypto #luna #stepn #sneakers #airjordan #ukrainewillwin #blockchain #btc #nftnews #solana #warinukraine #stopwar #cryptopunk #marketplace https://t.co/grkzhzirk5,coming soon nft airdrop ready opensea sand sandbox nftgiveaway nftcommunity crypto luna stepn sneakers airjordan ukrainewillwin blockchain btc nftnews solana warinukraine stopwar cryptopunk marketplace,0.3612
2022-05-27 07:59:10+00:00,"snoop dogg’s new music video was shot in the metaverse . “walkin' though the sandbox with flip-flops on…” very few celebrities have embraced the growing web3 industry (nfts, crypto, the metaverse) quite like snoop...",snoop dogg s new music video shot metaverse walkin sandbox flip flops celebrities embraced growing web industry nfts crypto metaverse like snoop,0.2023
2022-05-27 08:25:38+00:00,@carvalho96gal she bought sandbox early and now thinks she's a crypto guru... so dumb. the amount of fud and dismissal towards $ada is exactly why it will bring huge roi next cycle,bought sandbox early thinks s crypto guru dumb fud dismissal ada exactly bring huge roi cycle,-0.4767
2022-05-27 08:45:02+00:00,sandbox token sand rallies 260% in november ahead of play-to-earn metaverse launch #crypto #binance #eth #news https://t.co/n2eyxtpzvg,sandbox token sand rallies  november ahead play earn metaverse launch crypto binance eth news,0.34
2022-05-27 09:53:12+00:00,@clonex7100 @vividcojp @crypto_sandbox @nftlucia_d @thewalkingdood xx six xx#7879 i like eth project!,xx xx  like eth project,0.3612
2022-05-27 10:12:46+00:00,@sandbox_xsixx @clonex7100 @vividcojp @crypto_sandbox @nftlucia_d @thewalkingdood run4life - a new revolution of running. 👉🏽 join run4life whitelist contest now: https://t.co/kbrstxbfyb 🔸$5000 community contests 🔸earn upto 5$ per day with $150 shoes 🔸beta app apk available 🔸audit and kyced by interfi social media: https://t.co/7r3nnehnst,runlife new revolution running join runlife whitelist contest  community contests earn upto  day  shoes beta app apk available audit kyced interfi social media,0.296
2022-05-27 10:43:17+00:00,"redox stealer #malware claims to be a somewhat recent stealer capable of grabbing #crypto wallets, certain game accounts, and more with a pretty low barrier of entry: $220 for a lifetime license. the team behind it says it has anti-analysis tools and sandbox detection. https://t.co/nsdxxpnw9l",redox stealer malware claims somewhat recent stealer capable grabbing crypto wallets certain game accounts pretty low barrier entry  lifetime license team says anti analysis tools sandbox detection,-0.3947
2022-05-27 10:59:05+00:00,"gm/ga/gn cryptocurrencies that could take over crypto – ethereum (eth), the sandbox (sand) and gnox token (gnox) - analytics insight https://t.co/mjrwq3lqtw",gm ga gn cryptocurrencies crypto ethereum eth sandbox sand gnox token gnox analytics insight,0.296
2022-05-27 10:59:59+00:00,"@octal_crypto @grumblyscry ok almost done with these, here's the first still working on improving the performance, but dm me if you want the work in process sandbox to play with it yourself https://t.co/2pyrb3bhdx",ok s working improving performance dm want work process sandbox play,0.7717
2022-05-27 11:25:36+00:00,"gcex continues to expand with the addition of 18 new tokens the new products include the sandbox ( $sand ), decentraland ( $mana ), binance usd ( $bus), dai ( $dai ) and ftx ( $ftt ). https://t.co/tnua8kcd7z #crypto #cryptocurrency #cryptonews",gcex continues expand addition  new tokens new products include sandbox sand decentraland mana binance usd bus dai dai ftx ftt crypto cryptocurrency cryptonews,0.3182
2022-05-27 11:50:51+00:00,"cryptocurrencies that could take over crypto – ethereum (eth), the sandbox (sand) and gnox token (gnox) . this article features the top 3 cryptocurrencies ethereum (eth), the sandbox (sand), and gnox token (gnox) that could easily take over other cryptos in the...",cryptocurrencies crypto ethereum eth sandbox sand gnox token gnox article features  cryptocurrencies ethereum eth sandbox sand gnox token gnox easily cryptos,0.34
2022-05-27 11:51:11+00:00,"cryptocurrencies that could take over crypto – ethereum (eth), the sandbox (sand) and gnox token (gnox) . this article features the top 3 cryptocurrencies ethereum (eth), the sandbox (sand), and gnox token (gnox) that could easily take over other crypt",cryptocurrencies crypto ethereum eth sandbox sand gnox token gnox article features  cryptocurrencies ethereum eth sandbox sand gnox token gnox easily crypt,0.34
2022-05-27 12:50:47+00:00,@chinapumpwxc @dogsofelon 🐶🐶🐶 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/ndsdremy7j,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 12:59:37+00:00,i like #sandbox for being the #metaverse crypto i am most bullish on!,like sandbox metaverse crypto bullish,0.3612
2022-05-27 13:29:23+00:00,sandbox is now available on coinbase…used to be an easy flip to buy crypto when it hits coinbase for the run up and then sell shortly after…,sandbox available coinbase easy flip buy crypto hits coinbase run sell shortly,0.4404
2022-05-27 13:45:09+00:00,"""#cryptocurrency #exchange @coinbase lists @thesandboxgame (#sand) - crypto economy"" via @cryptoeconomyen trending #thesandbox news with frequent shares and strong engagement across social media. social insights: $sand #lunarcrush #lunarshare https://t.co/rw7mwj1eyb",cryptocurrency exchange lists sand crypto economy trending thesandbox news frequent shares strong engagement social media social insights sand lunarcrush lunarshare,0.8176
2022-05-27 13:56:33+00:00,"cryptocurrency exchange coinbase lists the sandbox (sand) . over the past year, the metaverse tokens have taken the cryptocurrency market by storm, several tokens posted massive gains, as crypto consumers showed an,,,",cryptocurrency exchange coinbase lists sandbox sand past year metaverse tokens taken cryptocurrency market storm tokens posted massive gains crypto consumers showed,0.34
2022-05-27 14:00:04+00:00,"holders of the sandbox (sand), algorand (algo), and these two crypto property ought to get excited: altcoin every day... cryptocurrency sponsor https://t.co/mp69hktfnf https://t.co/mbpsiivel2",holders sandbox sand algorand algo crypto property ought excited altcoin day cryptocurrency sponsor,0.34
2022-05-27 14:06:31+00:00,"cryptocurrency exchange coinbase lists the sandbox (sand) . over the past year, the metaverse tokens have taken the cryptocurrency market by storm. several tokens posted massive gains, as crypto consumers showed an...",cryptocurrency exchange coinbase lists sandbox sand past year metaverse tokens taken cryptocurrency market storm tokens posted massive gains crypto consumers showed,0.34
2022-05-27 14:41:10+00:00,"gaming and crypto are increasingly getting mixed up with terms like “metaverse” and “play-to-earn."" a crypto game, the sandbox, could be a good place to start. #metaverseweek, presented by @nuvei: https://t.co/npo7lmd5pw",gaming crypto increasingly getting mixed terms like metaverse play earn crypto game sandbox good place start metaverseweek presented,0.7783
2022-05-27 14:43:02+00:00,"gaming and crypto are increasingly getting mixed up with terms like “metaverse” and “play-to-earn."" a crypto game, the sandbox, could be a good place to start. #metaverseweek, presented by @nuvei: https://t.co/vscaeg8u8f",gaming crypto increasingly getting mixed terms like metaverse play earn crypto game sandbox good place start metaverseweek presented,0.7783
2022-05-27 14:48:18+00:00,🚨🚨 crypto news alert! 🚨🚨 digital identity in the metaverse will be represented by avatars with utility https://t.co/in1vsgmebu #sandbox #metaverse #web3 #technology #decentralization #crypto #btc #eth #doge,crypto news alert digital identity metaverse represented avatars utility sandbox metaverse web technology decentralization crypto btc eth doge,0.296
2022-05-27 15:00:05+00:00,"gaming and crypto are increasingly getting mixed up with terms like “metaverse” and “play-to-earn."" a crypto game, the sandbox, could be a good place to start. #metaverseweek, presented by @nuvei: https://t.co/jtex8tmmrw",gaming crypto increasingly getting mixed terms like metaverse play earn crypto game sandbox good place start metaverseweek presented,0.7783
2022-05-27 15:24:49+00:00,@dogsofelon @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/j6ykvvy8rs,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 15:30:55+00:00,@altgemhunter @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/ddp9bjou5z,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 15:31:03+00:00,@altgemhunter @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/fguupeonu0,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 15:31:17+00:00,@altgemhunter @dogsofelon 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/1tmqwnxpfy,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 15:35:47+00:00,@brycent_ @dogsofelon 🐶🐶🐶 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/rysdl8dlck,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
2022-05-27 15:41:12+00:00,@whaleeverything @dogsofelon 🐶🐶🐶 🔥 nft based p2e game 🎮 ✅doe metaverse coming to sandbox! ✅doe secures sandbox land for future metaverse experience! 🐶 #metaverse #doetoken #dogsofelon #crypto #justdoeit #cryptonews #1000xgem #doetoken #nft #nfts #nftcommunity #doenft https://t.co/iodexzsuy8,nft based pe game doe metaverse coming sandbox doe secures sandbox land future metaverse experience metaverse doetoken dogsofelon crypto justdoeit cryptonews xgem doetoken nft nfts nftcommunity doenft,0.3182
