time,tweet,cleaned_tweets,nltk_polarity
2022-05-27 02:54:24+00:00,great hearing about you today. crypto fairy godmother nft og https://t.co/lhgqdyur6e,great hearing today crypto fairy godmother nft og,0.6249
2022-05-27 02:54:24+00:00,@kelvisman @mononokeinuscam welcome to crypto 🤩,welcome crypto,0.4588
2022-05-27 02:54:26+00:00,"@chavadanikunj1 @crypto_jargon @shivamchhuneja @cryptolalit151 @sujaljethwani @cryptowithkhan @easyeight08 in a bull market, just keep up. only the bear market can create professional, insightful and courageous investors who can also create wealth",bull market bear market create professional insightful courageous investors create wealth,0.8689
2022-05-27 02:54:27+00:00,"cturer uses ico, crypto tokens for p2p energy trading . australian solar power panel manufacturing company expects the blockchain to improve efficiency in the energy market by enabling peer to peer trading.",cturer uses ico crypto tokens pp energy trading australian solar power panel manufacturing company expects blockchain improve efficiency energy market enabling peer peer trading,0.8225
2022-05-27 02:54:27+00:00,solana nft collection with #1 recent volume: collection: panic station python recent sales: 29 average price: 0.358 sol buy on magic eden: https://t.co/nhbinlugpy #sol #panicstationpython,solana nft collection  recent volume collection panic station python recent sales  average price   sol buy magic eden sol panicstationpython,-0.5106
2022-05-27 02:54:28+00:00,@davidgokhshtein @arminaszone @leoluna718ny this project has the real potential🚀🚀🚀🚀🚀🚀🚀🚀 #bnb #bsc #bscgem #lowcap #1000x #elon #messiah #eth #memecoin #meme #cheems #shiba #moonshots #grimace #crypto #new tg: https://t.co/qxbbjiccre,project real potential bnb bsc bscgem lowcap x elon messiah eth memecoin meme cheems shiba moonshots grimace crypto new tg,-0.25
2022-05-27 02:54:29+00:00,@dacryptonic @dcb_world @storytoken_ is the bridge between crypto community amd non crypto community... https://t.co/fruqrgeeec #storytoken #story #crowdfunding #bscgem #altcoins #charity #binance #binancesmartchain #whitebit #pancakeswap #coinsuper #latoken @storytoken #100x #cryptocurrency #btcgem https://t.co/5bhdx8lmbv,bridge crypto community amd non crypto community storytoken story crowdfunding bscgem altcoins charity binance binancesmartchain whitebit pancakeswap coinsuper latoken x cryptocurrency btcgem,0.4215
2022-05-27 02:54:29+00:00,congratulations #bitcoin #btc #cryptocurrencies #cryptocurrencynews #coinbase #ftx #bitcoincrash #cryptocurrency #crypto #cryptotrading #binance #australia #california #chicago #london #blockchain #investment #forextrader #forex #forexsignals #forexmarket #forexeducation https://t.co/s6c40rbowj,congratulations bitcoin btc cryptocurrencies cryptocurrencynews coinbase ftx bitcoincrash cryptocurrency crypto cryptotrading binance australia california chicago london blockchain investment forextrader forex forexsignals forexmarket forexeducation,0.5994
2022-05-27 02:54:29+00:00,@stepnofficial @barndog_solana great news,great news,0.6249
2022-05-27 02:54:29+00:00,@boostflake @rokromero3 hacked metamask crypto wallet lost all my nft bitcoin ethereum in need of immediate recovery,hacked metamask crypto wallet lost nft bitcoin ethereum need immediate recovery,-0.6124
2022-05-27 02:54:29+00:00,@galileo_crypto #warmiz #warmizsoldiers #bscgem #gamefi #100x #nft #playtoearn #metaverse #cz #elon #moonshot warmiz launching on 26th may with 11 utilities join https://t.co/pojlz47rds https://t.co/qhmazdzwaq tweet page: @warmizofficial https://t.co/g8unriguod,warmiz warmizsoldiers bscgem gamefi x nft playtoearn metaverse cz elon moonshot warmiz launching th  utilities join tweet page,0.296
2022-05-27 02:54:29+00:00,@samuraicrypt0 @mutantlabsnft income bear hero club is solana's great nft collection. @incomebear dm song lyrics to win a prize. https://t.co/2bbkl6d2nd,income bear hero club solana s great nft collection dm song lyrics win prize,0.9413
2022-05-27 02:54:30+00:00,@xportify_ i believe this is a faithful project. the projector has a lot of attractions so hopefully the project will be best in the future. @racin_al @rofiq23au @niladro_nil @agshabuj85 @jahid8012 #airdrop #crypto #nft,believe faithful project projector lot attractions hopefully project best future airdrop crypto nft,0.9118
2022-05-27 02:54:30+00:00,@crypto_bisons @cryptonftea_ what's your next move to expand your project &amp; where did you see the future of you project at 2025?,s expand project amp future project ,0.3182
2022-05-27 02:54:30+00:00,@nft_adidas this is so nice @taolagayma @hieurico @rapepzada @kean_grooteman @zilyas8 @rydersd @sandeeppramanik @xofadz @spiritedchan @revaholly @shetalks_crypto @buy_rich @tearsmarti @yoshimasa12,nice,0.4215
