time,tweet,cleaned_tweets,nltk_polarity
2022-05-27 02:54:05+00:00,"@johniadarola drake is on twitch right now literally taking candy from babys, promoting crypto and stake, like he needs money",drake twitch right literally taking candy babys promoting crypto stake like needs money,0.6124
2022-05-27 02:54:06+00:00,yes i knew it was coming. crypto bailouts. https://t.co/ymsvab6yd5,yes knew coming crypto bailouts,0.4019
2022-05-27 02:54:07+00:00,this project looking very interesting.the project has a lot of attractions so hopefully the project will be better in the future and it's envy of the crypto world. good luck @mùhàmmâď ŕafíuĺĺah @linda chris @thanh https://t.co/vvpcenlsgw,project looking interesting project lot attractions hopefully project better future s envy crypto world good luck af u ah chris,0.9313
2022-05-27 02:54:07+00:00,"📈analysis may 27th📈 the current price of $btc is 28924.99$ (🔻-3.19%), and its dominance is 40.67%. the market sentiment is at 12 points [💀extreme fear]. total #crypto market cap is 💰1.35 trillion $💰 approx. #bitcoin https://t.co/r3qse9wgug",analysis th current price btc     dominance   market sentiment  points extreme fear total crypto market cap   trillion approx bitcoin,-0.34
2022-05-27 02:54:08+00:00,"""be early, be ambitious, get stuff done."" ✅6% bnb reflections ✅fully doxxed team ✅lp and 90% tokens locked ✅kyc ✅eth-bsc bridge https://t.co/n3qlhh32m3 tg:https://t.co/mgilqdrqhm #bsc #bscgem #pinksale #cryptocurrency #crypto #blockchain #bitcoin #bnb #binance #bnb #eth https://t.co/ncucqghslt",early ambitious stuff  bnb reflections fully doxxed team lp  tokens locked kyc eth bsc bridge tg bsc bscgem pinksale cryptocurrency crypto blockchain bitcoin bnb binance bnb eth,0.4767
2022-05-27 02:54:08+00:00,jamie dimon's jpmorgan says bitcoin's slide has created 'significant upside' for crypto investors https://t.co/lmflg3f6o9,jamie dimon s jpmorgan says bitcoin s slide created significant upside crypto investors,0.4215
2022-05-27 02:54:09+00:00,"@secgov is corrupt! @garygensler @uscongress #usa @uscongress00 we, #crypto #xrp want #truth and #justice. https://t.co/lwd4fadjkj",corrupt usa crypto xrp want truth justice,0.7184
2022-05-27 02:54:09+00:00,@twobitidiot why no one say something like link? as oracle is the key infrastructure and base of the crypto world?,like link oracle key infrastructure base crypto world,0.3612
2022-05-27 02:54:09+00:00,getting paid crypto to create whatever content i want and post on social with the raiinmaker app🚀 $btc #createtoearn #raiinmakerapp #makeitraiin https://t.co/8qbqxzmvo8,getting paid crypto create content want post social raiinmaker app btc createtoearn raiinmakerapp makeitraiin,0.34
2022-05-27 02:54:11+00:00,institutional investors seek safe haven in crypto products amid market uncertainty https://t.co/mxptn1myem,institutional investors seek safe haven crypto products amid market uncertainty,0.128
2022-05-27 02:54:11+00:00,"@cryptic_maestro 60 secs max videos, community voting , nfts... @storytoken_ a disruption in crowdfunding systems! https://t.co/fruqrgeeec #storytoken #story #crowdfunding #bscgem #altcoins #charity #binance #binancesmartchain #whitebit #pancakeswap @storytoken #100x #cryptocurrency #btcgem https://t.co/w6cimowuxq", secs max videos community voting nfts disruption crowdfunding systems storytoken story crowdfunding bscgem altcoins charity binance binancesmartchain whitebit pancakeswap x cryptocurrency btcgem,0.0772
2022-05-27 02:54:12+00:00,really very excellent project. the project was executed in a very professional manner and had a clear development plan. without a doubt. @ullah04139 @ojrpc @sarniabatakash @milon02727680 @socorros1765 #airdrop #crypto #nft https://t.co/poyjsnq8vs,excellent project project executed professional manner clear development plan doubt airdrop crypto nft,0.5859
2022-05-27 02:54:13+00:00,@finessethew0xld @squishy_crypto @based_d0m alive or not once was enough for him,alive,0.3818
2022-05-27 02:54:13+00:00,cryptostone airdrop - claim free $cps tokens (~$ 5 + referral) with https://t.co/qjbmsi1css crypto crypto news - https://t.co/ivm1n8dlux,cryptostone airdrop claim free cps tokens  referral crypto crypto news,0.5106
2022-05-27 02:54:13+00:00,"i invite you to join our guild. we are looking for a hardworking scholar, this includes axie infinity, nft games, and crypto related transactions. let's unite, entertain together, and of course earn our own money. dm me, for more info❤️ dux cripto community #duxcripto #duxtoken https://t.co/mifcd95jqu",invite join guild looking hardworking scholar includes axie infinity nft games crypto related transactions let s unite entertain course earn money dm info dux cripto community duxcripto duxtoken,0.6249
2022-05-27 02:54:13+00:00,@xyxyey0xyx @shinijuega great giveaway! thank you for the opportunity and good luck everyone :) @crypto_gof @nftwin @cryptic_miind my wax: ysa14.c.wam,great giveaway thank opportunity good luck wax ysa c wam,0.936
2022-05-27 02:54:14+00:00,very great project for crypto . this project is very good and strong team i believe the project is a success and then it becomes one of the best crypto let's go to the moon 🚀🚀🚀🚀 @sadimaruf123 @russellsarkar5 @nusrat2022 https://t.co/yhwo5ztuwr,great project crypto project good strong team believe project success best crypto let s moon,0.9595
2022-05-27 02:54:15+00:00,@0xtheia idc about crypto that much you’re just a dude i’d like to get a beer with yeah i know you talked bad about cosmos once i just want a beer baby don’t be scared ;),idc crypto dude d like beer yeah know talked bad cosmos want beer baby t scared,-0.34
2022-05-27 02:54:17+00:00,@zackmatic99 @jessshroom @monshmosh @crypto_nm @geebeeigwt @luhblix but women and children have gone out like that.....because of the ease of access to your 'preparations',women children gone like ease access preparations,0.6124
2022-05-27 02:54:17+00:00,#metakillers #kill #bsc #bnb #binance #gamefi #gaming #gamenews #defi #nfts #presale https://t.co/nolvquflwd,metakillers kill bsc bnb binance gamefi gaming gamenews defi nfts presale,-0.6908
2022-05-27 02:54:17+00:00,@dacryptogeneral i'm loading up on $umb of @umbnetwork. umbrella network proprietary quality controlled workflows and in house computations turn raw data sourced into pricing data. umbrella is a great token to buy and hodl long-term to enjoy its benefits. #umbrellanetwork #crypto #security #defi,m loading umb umbrella network proprietary quality controlled workflows house computations turn raw data sourced pricing data umbrella great token buy hodl long term enjoy benefits umbrellanetwork crypto security defi,0.9062
2022-05-27 02:54:19+00:00,"@aldraconic @girlgone_crypto hello sir, my name is crypto frisbee and you don't know me but yes i'd like a free nft",hello sir crypto frisbee t know yes d like free nft,0.8176
2022-05-27 02:54:19+00:00,@webcoincapital @stepapp_ really very excellent project. the project was executed in a very professional manner and had a clear development plan. without a doubt. @ullah04139 @ojrpc @sarniabatakash @milon02727680 @socorros1765 #airdrop #crypto #nft,excellent project project executed professional manner clear development plan doubt airdrop crypto nft,0.5859
2022-05-27 02:54:20+00:00,"@caspar45705582 stripto is the world's 1st uniquely designed, revolutionary nft marketplace, that integrates a dynamic pricing protocol empowered by the #striptoken https://t.co/q07flip4he #stripto #nfts #ico #ido #crypto https://t.co/u2doqovayd",stripto world s st uniquely designed revolutionary nft marketplace integrates dynamic pricing protocol empowered striptoken stripto nfts ico ido crypto,0.3818
2022-05-27 02:54:21+00:00,@nft_adidas #ozworld sick tbh @jeremynotes @emirovasquez8 @makdumshaik @arigirl84 @leroyblackwelll @fedemoisello @roberponte @wttuko @fjgjhgij @red00_artist @crypto_anxiety @dontburnsage @babyboicarti_ @pichkaridarko,ozworld sick tbh,-0.5106
2022-05-27 02:54:21+00:00,@chocoin_vn @partisiampc partisia blockchain is preparing to get their hands on sidus to see how it will improve the player experience. what solution does partisia offer that can be implemented in any gamefi game project? how will you help enthusiastic players to better experience in the crypto space?,partisia blockchain preparing hands sidus improve player experience solution partisia offer implemented gamefi game project help enthusiastic players better experience crypto space,0.9186
2022-05-27 02:54:21+00:00,"rakicoin new users only, 700 yen virtual currency receiving gift campaign held.see fixed tweets for more details. @mongkol79435112 @mongo_crypto @mongokey @mongol_2019 @mongooseoffical @mongtuy50637202",rakicoin new users  yen virtual currency receiving gift campaign held fixed tweets details,0.4404
2022-05-27 02:54:22+00:00,"@chitaglorya__ @twinutoken don't miss out on the only profitable crypto community, join the channel for signals and more information on binance future trade. link to the telegram channel 👇🏻👇🏻👇🏻 https://t.co/esbwb56t08",t miss profitable crypto community join channel signals information binance future trade link telegram channel,0.5423
2022-05-27 02:54:23+00:00,i believe this is a faithful project. the projector has a lot of attractions so hopefully the project will be best in the future. @racin_al @rofiq23au @niladro_nil @agshabuj85 @jahid8012 #airdrop #crypto #nft https://t.co/6whw0fxnxr,believe faithful project projector lot attractions hopefully project best future airdrop crypto nft,0.9118
2022-05-27 02:54:23+00:00,@nft_adidas this is cold wow @tsutomuudagawa @adedayo_aramide @1806cfc @dimasrahmatilah @tonyaja14276741 @hardonntabooson @giannajade1612 @mintycane4 @crypto_hyena @dtaggart_dagny @kan55y @commoncentssss @zeline_97 @kristen69342535,cold wow,0.5859
2022-05-27 02:54:24+00:00,not quite. they've actually made things worse by refusing to clarify what crypto assets are securities https://t.co/a4egm06rfe,ve actually things worse refusing clarify crypto assets securities,-0.4404
